branch_id,from_bus,to_bus,closed,base_closed,r_pu,x_pu
1,1,2,1,1,3.119626443451155e-05,7.487103464282772e-05
2,2,3,1,1,3.119626443451155e-05,7.487103464282772e-05
3,3,4,1,1,9.358879330353465e-05,0.00022461310392848317
4,4,5,1,1,0.00156605247461248,0.001834340348749279
5,5,6,1,1,0.022835665566062455,0.011629967381185907
6,6,7,1,1,0.023771553499097802,0.012110389853477383
7,7,8,1,1,0.005752591161723931,0.002932448856844086
8,8,9,1,1,0.0030759516732428386,0.00156605247461248
9,9,10,1,1,0.05109948114372992,0.016889657564844555
10,10,11,0,1,0.011679881404281126,0.00386209753699253
11,11,12,1,1,0.044386045037423036,0.014668483537107332
12,12,13,1,1,0.0642643047350938,0.021213459815467857
13,13,14,1,1,0.06513780013926013,0.021213459815467857
14,14,15,1,1,0.06601129554342644,0.021812428092610477
15,15,16,1,1,0.012266371175649942,0.004055514376486502
16,16,17,1,1,0.02335976280856225,0.00772419507398506
17,17,18,1,1,0.0002932448856844086,9.982804619043697e-05
18,18,19,1,1,0.02043979245749197,0.006757110876515202
19,19,20,1,1,0.013139866579816266,0.004305084491962595
20,20,21,0,1,0.021313287861658294,0.007044116509312709
21,21,22,1,1,0.0008734954041663234,0.0002870056327975063
22,22,23,1,1,0.009926651343061576,0.0032818470185106154
23,23,24,1,1,0.0216065327473427,0.007143944555503145
24,24,25,1,1,0.0467195256171245,0.015442150895083218
25,25,26,1,1,0.019273052167641237,0.006370277197527259
26,26,27,1,1,0.010806386000114802,0.0035688526513081215
27,3,28,1,1,0.00027452712702370167,0.0006738393117854495
28,28,29,1,1,0.0039931218476174785,0.009764430768002116
29,29,30,1,1,0.02481974798409739,0.008204617546276539
30,30,31,1,1,0.004379955526605422,0.001447506669761336
31,31,32,1,1,0.02189977763302711,0.007237533348806681
32,32,33,1,1,0.052347331721110384,0.017569736129516907
33,33,34,1,1,0.10656643930829146,0.03522682179945044
34,34,35,1,1,0.09196658755294006,0.030403879317874957
35,3,36,1,1,0.00027452712702370167,0.0006738393117854495
36,36,37,1,1,0.0039931218476174785,0.009764430768002116
37,37,38,1,1,0.006569933289908133,0.007674281050889842
38,38,39,1,1,0.0018967328776183024,0.0022149347748503198
39,39,40,1,1,0.00011230655196424158,0.00013102431062494852
40,40,41,1,1,0.045440478775309524,0.05308980281465176
41,41,42,1,1,0.019341683949397163,0.022604813209247072
42,42,43,1,1,0.0025580936836299474,0.0029823628799393043
43,43,44,1,1,0.0005740112655950126,0.000723753334880668
44,44,45,1,1,0.0067945463938366155,0.008566494213716873
45,45,46,1,1,5.615327598212079e-05,7.487103464282772e-05
46,4,47,1,1,0.00021213459815467854,0.0005240972424997941
47,47,48,1,1,0.005309604206753866,0.012996363763417514
48,48,49,1,1,0.018081354866242894,0.04424254222102428
49,49,50,1,1,0.005128665873033698,0.012547137555560545
50,8,51,1,1,0.005790026679045344,0.002951166615504793
51,51,52,1,1,0.020708080331628766,0.007112748291068634
52,9,53,1,1,0.01085630002321002,0.005527978057795447
53,53,54,1,1,0.01266568336041169,0.00645138748505699
54,54,55,1,1,0.017731956704576366,0.009028198927347643
55,55,56,1,1,0.017551018370856198,0.00894084938693101
56,56,57,1,1,0.09920412090174674,0.033298892657397626
57,57,58,1,1,0.0488970248746534,0.016409235092553077
58,58,59,0,1,0.01897980728195683,0.006276688404223724
59,59,60,1,1,0.02408975539632982,0.007312404383449508
60,60,61,1,1,0.03166420840102922,0.016128468712642473
61,61,62,0,1,0.006077032311842851,0.003094669431903546
62,62,63,1,1,0.00904691668600835,0.004604568630533905
63,63,64,1,1,0.044329891761440914,0.02257985619769946
64,64,65,1,1,0.06495062255265305,0.03308051880635605
65,11,66,1,1,0.012553376808447448,0.0038121835138973117
66,66,67,1,1,0.0002932448856844086,8.734954041663235e-05
67,12,68,1,1,0.04613303584575568,0.015248734055589247
68,68,69,1,1,0.0002932448856844086,9.982804619043697e-05
69,11,43,1,0,0.031196264434511553,0.031196264434511553
70,13,21,1,0,0.031196264434511553,0.031196264434511553
71,15,46,0,0,0.062392528869023106,0.031196264434511553
72,50,59,1,0,0.12478505773804621,0.12478505773804621
73,27,65,1,0,0.062392528869023106,0.031196264434511553
