case,scenario,bus,V_pu,v_squared,Pload_MW,Qload_Mvar,Pshed_MW,Qshed_Mvar,Pren_MW,Pbat_MW
ieee69,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,2,0.9999731819089375,0.9999463645370849,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,3,0.9999463630986263,0.9998927290741697,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,4,0.9998914907411781,0.9997829932566155,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,5,0.9998121422655394,0.9996243198216073,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,6,0.9989539316370646,0.9979089575331491,0.0026,0.0022,0.0,0.0,0.0,0.0
ieee69,0,7,0.9980685515042507,0.9961408335017932,0.040400000000000005,0.03,0.0,0.0,0.0,0.0
ieee69,0,8,0.9978862470344102,0.9957769620204199,0.075,0.054000000000000006,0.0,0.0,0.0,0.0
ieee69,0,9,0.9978388416887592,0.9956823539827647,0.03,0.022,0.0,0.0,0.0,0.0
ieee69,0,10,0.9976632779598603,0.9953320161896134,0.028,0.019,0.0,0.0,0.0,0.0
ieee69,0,11,0.9863628771314478,0.9729117253830276,0.145,0.104,0.0,0.0,0.2827811874999999,0.0
ieee69,0,12,0.9840031918394299,0.9682622815501859,0.145,0.104,0.0,0.0,0.0,0.0
ieee69,0,13,0.9822056352751072,0.9647279099661769,0.008,0.0055,0.0,0.0,0.0,0.0
ieee69,0,14,0.9826944591371908,0.965688400018936,0.008,0.0055,0.0,0.0,0.0,0.0
ieee69,0,15,0.9832521082268542,0.9667847083325533,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,16,0.9833556737135463,0.9669883810246224,0.0455,0.03,0.0,0.0,0.0,0.0
ieee69,0,17,0.983684476559204,0.9676351494235552,0.06,0.035,0.0,0.0,0.0,0.0
ieee69,0,18,0.983690726746807,0.9676474458876614,0.06,0.035,0.0,0.0,0.2827811874999999,0.0
ieee69,0,19,0.9836882367274017,0.9676425470758647,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,20,0.9836866383622428,0.9676394024924098,0.001,0.0006,0.0,0.0,0.0,0.0
ieee69,0,21,0.9803811505708705,0.9611472003946638,0.114,0.08099999999999999,0.0,0.0,0.0,0.270899625
ieee69,0,22,0.9803394361284103,0.9610654100285695,0.0053,0.0035,0.0,0.0,0.0,0.0
ieee69,0,23,0.9798712394377743,0.96014764587732,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,24,0.9788513628680071,0.958149990588555,0.028,0.02,0.0,0.0,0.0,0.0
ieee69,0,25,0.9768081475712787,0.9541541571616329,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,26,0.975964020985443,0.9525057702580743,0.014,0.01,0.0,0.0,0.0,0.0
ieee69,0,27,0.9755096425007774,0.9516190626119946,0.014,0.01,0.0,0.0,0.0,0.0
ieee69,0,28,0.9999394573488535,0.9998789183631195,0.026,0.018600000000000002,0.0,0.0,0.0,0.0
ieee69,0,29,0.9998677932467661,0.9997356039721579,0.026,0.018600000000000002,0.0,0.0,0.0,0.0
ieee69,0,30,0.9997467589869069,0.9994935821048244,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,31,0.9997253995066913,0.9994508744188135,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,32,0.9996185952595916,0.9992373359887593,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,33,0.9993624975682434,0.9987254015458372,0.014,0.01,0.0,0.0,0.0,0.0
ieee69,0,34,0.9990270747817033,0.9980550961468869,0.0195,0.014,0.0,0.0,0.0,0.0
ieee69,0,35,0.9989596654211665,0.9979204131383691,0.006,0.004,0.0,0.0,0.0,0.0
ieee69,0,36,0.9998768174369244,0.9997536500477926,0.026,0.018600000000000002,0.0,0.0,0.0,0.0
ieee69,0,37,0.9988964697975078,0.9977941573739233,0.026,0.018600000000000002,0.0,0.0,0.0,0.0
ieee69,0,38,0.9980257400384397,0.9960553777792751,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,39,0.9977742716059488,0.9955534970787817,0.024,0.017,0.0,0.0,0.0,0.0
ieee69,0,40,0.9977598836541773,0.9955247854295974,0.024,0.017,0.0,0.0,0.0,0.0
ieee69,0,41,0.9921159331687001,0.9842940248472006,0.0012,0.001,0.0,0.0,0.0,0.0
ieee69,0,42,0.9897078775861633,0.9795216829561081,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,43,0.9893895402931266,0.9788916624414445,0.006,0.0043,0.0,0.0,0.0,0.0
ieee69,0,44,0.9893811439782533,0.978875048059717,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,45,0.9892817546347115,0.9786783900531334,0.039200000000000006,0.0263,0.0,0.0,0.0,0.0
ieee69,0,46,0.9892813330846829,0.9786775559898074,0.039200000000000006,0.0263,0.0,0.0,0.0,0.0
ieee69,0,47,0.9997806662560459,0.999561380619383,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,48,0.9970218554427746,0.9940525802305528,0.07900000000000001,0.0564,0.0,0.0,0.0,0.0
ieee69,0,49,0.9879688391666053,0.9760824271642096,0.3847,0.2745,0.0,0.0,0.2827811874999999,0.0
ieee69,0,50,0.9857886602818696,0.9717792827403234,0.3847,0.2745,0.0,0.0,0.0,0.270899625
ieee69,0,51,0.9978514903291443,0.9957075967520945,0.040499999999999994,0.0283,0.0,0.0,0.0,0.0
ieee69,0,52,0.99784209474755,0.9956888460501786,0.0036,0.0027,0.0,0.0,0.0,0.0
ieee69,0,53,0.9977573321778858,0.9955196939147319,0.0043,0.0035,0.0,0.0,0.0,0.0
ieee69,0,54,0.9976699433084407,0.9953453157810672,0.0264,0.019,0.0,0.0,0.0,0.0
ieee69,0,55,0.9976117207534078,0.9952291453845752,0.024,0.0172,0.0,0.0,0.0,0.0
ieee69,0,56,0.9976117207534078,0.9952291453845752,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,57,0.9976117207534078,0.9952291453845752,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,58,0.9976117207534078,0.9952291453845752,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,59,0.9598623346587343,0.9213357014965159,0.1,0.072,0.0,0.0,0.0,0.0
ieee69,0,60,0.956768474220864,0.9154059132629201,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,61,0.9520789098913791,0.9064542506599568,1.244,0.888,0.0,0.0,0.2827811874999999,0.0
ieee69,0,62,0.97014406455859,0.9411795059982617,0.032,0.023,0.0,0.0,0.0,0.0
ieee69,0,63,0.9701848211968442,0.9412585872807526,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,0,64,0.9703845453873094,0.9416461659265353,0.227,0.16199999999999998,0.0,0.0,0.0,0.0
ieee69,0,65,0.9727459007215594,0.9462345873705978,0.059,0.04200000000000001,0.0,0.0,0.0,0.0
ieee69,0,66,0.9863070098684965,0.9728015177157345,0.018,0.013,0.0,0.0,0.0,0.0
ieee69,0,67,0.9863063595685374,0.972800234925341,0.018,0.013,0.0,0.0,0.0,0.0
ieee69,0,68,0.9836786069018014,0.9676236016762687,0.028,0.02,0.0,0.0,0.0,0.0
ieee69,0,69,0.9836775692231292,0.9676215601927242,0.028,0.02,0.0,0.0,0.0,0.0
ieee69,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,2,0.9999719814897455,0.9999439637645279,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,3,0.99994396219441,0.9998879275290555,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,4,0.99988316000858,0.9997663336687437,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,5,0.9997954073725649,0.9995908566032731,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,6,0.9988462525430778,0.9976938362193499,0.0028753418629912228,0.002432981576377189,0.0,0.0,0.0,0.0
ieee69,1,7,0.9978669583597557,0.9957384665861504,0.04467838894801747,0.033177021496052575,0.0,0.0,0.0,0.0
ieee69,1,8,0.9976653050267774,0.9953360608541729,0.08294255374013143,0.059718638692894635,0.0,0.0,0.0,0.0
ieee69,1,9,0.9976128676784096,0.9952314337575401,0.033177021496052575,0.024329815763771884,0.0,0.0,0.0,0.0
ieee69,1,10,0.9974186658274773,0.9948439949410648,0.030965220062982402,0.02101211361416663,0.0,0.0,0.0,0.0
ieee69,1,11,0.9868890794992201,0.973950055234818,0.16035560389758743,0.11501367451964893,0.0,0.0,0.1393563086762258,0.0
ieee69,1,12,0.9847338268135295,0.9697007096708182,0.16035560389758743,0.11501367451964893,0.0,0.0,0.0,0.0
ieee69,1,13,0.9834036730393098,0.9670827841472057,0.008847205732280688,0.006082453940942971,0.0,0.0,0.0,0.0
ieee69,1,14,0.9827951880930044,0.9658863817387638,0.008847205732280688,0.006082453940942971,0.0,0.0,0.0,0.0
ieee69,1,15,0.9822473685286988,0.9648098929815533,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,16,0.9821455119561924,0.9646098066556913,0.05031848260234641,0.033177021496052575,0.0,0.0,0.0,0.0
ieee69,1,17,0.9820972886418946,0.9645150843577608,0.06635404299210515,0.03870652507872801,0.0,0.0,0.0,0.0
ieee69,1,18,0.982099035209119,0.9645185149586823,0.06635404299210515,0.03870652507872801,0.0,0.0,0.1393563086762258,0.0
ieee69,1,19,0.9820962770315373,0.9645130973592062,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,20,0.982094506532905,0.9645096197621101,0.001105900716535086,0.0006635404299210513,0.0,0.0,0.0,0.0
ieee69,1,21,0.9828862179283576,0.9660653173935109,0.1260726816849998,0.08957795803934195,0.0,0.0,0.0,0.06230747160134961
ieee69,1,22,0.9828855840099352,0.9660640712545514,0.005861273797635954,0.0038706525078728003,0.0,0.0,0.0,0.0
ieee69,1,23,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,24,1.0,1.0,0.030965220062982402,0.022118014330701714,0.030965220062982402,0.022118014330701714,0.0,0.0
ieee69,1,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,26,1.0,1.0,0.015482610031491201,0.011059007165350857,0.015482610031491201,0.011059007165350857,0.0,0.0
ieee69,1,27,1.0,1.0,0.015482610031491201,0.011059007165350857,0.015482610031491201,0.011059007165350857,0.0,0.0
ieee69,1,28,0.9999363250996581,0.9998726542538092,0.028753418629912233,0.0205697533275526,0.0,0.0,0.0,0.0
ieee69,1,29,0.9998570711687521,0.999714162766155,0.028753418629912233,0.0205697533275526,0.0,0.0,0.0,0.0
ieee69,1,30,0.9997232170004124,0.9994465106096537,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,31,0.9996995949529502,0.9993992801490927,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,32,0.9995814763421179,0.999163127846288,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,33,0.9992982433583287,0.9985969791790416,0.015482610031491201,0.011059007165350857,0.0,0.0,0.0,0.0
ieee69,1,34,0.9989272686026971,0.997855687958045,0.021565063972434174,0.015482610031491201,0.0,0.0,0.0,0.0
ieee69,1,35,0.9988527128272817,0.99770674192242,0.006635404299210516,0.004423602866140344,0.0,0.0,0.0,0.0
ieee69,1,36,0.999882271452377,0.999764556764765,0.028753418629912233,0.0205697533275526,0.0,0.0,0.0,0.0
ieee69,1,37,0.9990185647360994,0.9980380926873761,0.028753418629912233,0.0205697533275526,0.0,0.0,0.0,0.0
ieee69,1,38,0.9981705540070724,0.9963444548867859,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,39,0.9979256388919797,0.995855580757966,0.026541617196842063,0.01880031218109646,0.0,0.0,0.0,0.0
ieee69,1,40,0.99791168867274,0.9958277383896796,0.026541617196842063,0.01880031218109646,0.0,0.0,0.0,0.0
ieee69,1,41,0.9924686846500074,0.9849940900109158,0.0013270808598421027,0.001105900716535086,0.0,0.0,0.0,0.0
ieee69,1,42,0.9901474904939783,0.9803920529315229,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,43,0.9898405164529586,0.9797842480118598,0.006635404299210516,0.0047553730811008684,0.0,0.0,0.0,0.0
ieee69,1,44,0.9898312351887076,0.9797658741552027,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,45,0.9897213698434573,0.9795483899248094,0.04335130808817537,0.029085188844872756,0.0,0.0,0.0,0.0
ieee69,1,46,0.989720903858042,0.9795474675335797,0.04335130808817537,0.029085188844872756,0.0,0.0,0.0,0.0
ieee69,1,47,0.9997605539445333,0.9995211652234801,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,48,0.9967061514190685,0.993423152276611,0.0873661566062718,0.06237280041257884,0.0,0.0,0.0,0.0
ieee69,1,49,0.9866760581220648,0.9735296436712962,0.42544000565104745,0.30356974668888104,0.0,0.0,0.1393563086762258,0.0
ieee69,1,50,0.9843489256466189,0.968942807421653,0.42544000565104745,0.30356974668888104,0.0,0.0,0.0,0.06230747160134961
ieee69,1,51,0.9976268589779594,0.9952593497542294,0.04478897901967097,0.03129699027794293,0.0,0.0,0.0,0.0
ieee69,1,52,0.9976164660527336,0.995238613339545,0.003981242579526308,0.0029859319346447317,0.0,0.0,0.0,0.0
ieee69,1,53,0.9975227054417112,0.995051547871751,0.0047553730811008684,0.0038706525078728003,0.0,0.0,0.0,0.0
ieee69,1,54,0.9974260388463814,0.9948587029687831,0.029195778916526263,0.02101211361416663,0.0,0.0,0.0,0.0
ieee69,1,55,0.99736163453587,0.9947302300440624,0.026541617196842063,0.019021492324403474,0.0,0.0,0.0,0.0
ieee69,1,56,0.99736163453587,0.9947302300440624,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,57,0.99736163453587,0.9947302300440624,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,58,0.99736163453587,0.9947302300440624,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,59,0.9580384469439002,0.9178376658226802,0.11059007165350859,0.07962485159052618,0.0,0.0,0.0,0.0
ieee69,1,60,0.9548188641755406,0.9116790633854696,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,61,0.95,0.9025,1.3757404913696467,0.9820398362831563,0.2105885059582009,0.15032362804733312,0.1393563086762258,0.0
ieee69,1,62,1.0,1.0,0.03538882292912275,0.025435716480306972,0.03538882292912275,0.025435716480306972,0.0,0.0
ieee69,1,63,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,1,64,1.0,1.0,0.2510394626534645,0.1791559160786839,0.2510394626534645,0.1791559160786839,0.0,0.0
ieee69,1,65,1.0,1.0,0.06524814227557006,0.046447830094473605,0.06524814227557006,0.046447830094473605,0.0,0.0
ieee69,1,66,0.9868273286125546,0.9738281764965909,0.019906212897631545,0.014376709314956116,0.0,0.0,0.0,0.0
ieee69,1,67,0.9868266098245302,0.9738267578577755,0.019906212897631545,0.014376709314956116,0.0,0.0,0.0,0.0
ieee69,1,68,0.9843751282618921,0.9689943931406166,0.030965220062982402,0.022118014330701714,0.0,0.0,0.0,0.0
ieee69,1,69,0.9843739815042359,0.9689921354625018,0.030965220062982402,0.022118014330701714,0.0,0.0,0.0,0.0
ieee69,2,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,2,2,0.9999780607415703,0.9999561219644716,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,2,3,0.9999561210017884,0.9999122439289433,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,2,4,0.9998944475329065,0.9997889062071363,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,2,5,0.9998040961180883,0.9996082306145074,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,2,6,0.9988268172187286,0.9976550107952955,0.002960524178548747,0.0025050589203104785,0.0,0.0,0.0,0.0
ieee69,2,7,0.9978184770407634,0.9956417131239484,0.04600199108206516,0.03415989436787017,0.0,0.0,0.0,0.0
ieee69,2,8,0.9976108389940315,0.9952273860783754,0.0853997359196754,0.0614878098621663,0.0,0.0,0.0,0.0
ieee69,2,9,0.9975568451936062,0.9951196593926204,0.03415989436787017,0.025050589203104785,0.0,0.0,0.0,0.0
ieee69,2,10,0.9973568782833202,0.9947207426590496,0.03188256807667882,0.02163459976631777,0.0,0.0,0.0,0.0
ieee69,2,11,1.0,1.0,0.16510615611137244,0.1184209671419499,0.16510615611137244,0.1184209671419499,0.0,0.0
ieee69,2,12,1.0,1.0,0.16510615611137244,0.1184209671419499,0.16510615611137244,0.1184209671419499,0.0,0.0
ieee69,2,13,1.0,1.0,0.009109305164765378,0.006262647300776196,0.009109305164765378,0.006262647300776196,0.0,0.0
ieee69,2,14,1.0,1.0,0.009109305164765378,0.006262647300776196,0.009109305164765378,0.006262647300776196,0.0,0.0
ieee69,2,15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,2,16,1.0,1.0,0.051809173124603085,0.03415989436787017,0.051809173124603085,0.03415989436787017,0.0,0.0
ieee69,2,17,1.0,1.0,0.06831978873574034,0.03985321009584853,0.06831978873574034,0.03985321009584853,0.0,0.0
ieee69,2,18,1.0,1.0,0.06831978873574034,0.03985321009584853,0.06831978873574034,0.03985321009584853,0.0,0.0
ieee69,2,19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,2,20,1.0,1.0,0.0011386631455956723,0.0006831978873574032,0.0011386631455956723,0.0006831978873574032,0.0,0.0
ieee69,2,21,1.0,1.0,0.12980759859790664,0.09223171479324944,0.12980759859790664,0.09223171479324944,0.0,0.0
ieee69,2,22,1.0,1.0,0.006034914671657062,0.003985321009584853,0.006034914671657062,0.003985321009584853,0.0,0.0
ieee69,2,23,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,2,24,1.0,1.0,0.03188256807667882,0.022773262911913447,0.03188256807667882,0.022773262911913447,0.0,0.0
ieee69,2,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ieee69,2,26,1.0,1.0,0.01594128403833941,0.011386631455956723,0.01594128403833941,0.011386631455956723,0.0,0.0
