seed,round,loop,objective,open_branches
101,0,L4,712.8468872983563,20-58-61-69-71
101,0,L4,712.8468872983563,20-58-61-69-71
101,0,L1,712.8468872983563,20-58-61-69-71
101,0,L1,713.1140916959528,19-58-61-69-71
101,0,L4,712.8468872983563,20-58-61-69-71
101,0,L1,713.4385796252147,18-58-61-69-71
101,0,L4,712.8468872983563,20-58-61-69-71
101,0,L4,712.8468872983563,20-58-61-69-71
101,0,L1,713.1140916959528,19-58-61-69-71
101,0,L4,712.8468872983563,20-58-61-69-71
101,0,L1,713.4385796252147,18-58-61-69-71
101,0,L4,712.8468872983563,20-58-61-69-71
101,0,L1,716.7278747139836,17-58-61-69-71
101,0,L4,712.8468872983563,20-58-61-69-71
202,0,L4,712.8468872983563,20-58-61-69-71
202,0,L4,712.8468872983563,20-58-61-69-71
202,0,L1,712.8468872983563,20-58-61-69-71
202,0,L1,713.1140916959528,19-58-61-69-71
202,0,L4,712.8468872983563,20-58-61-69-71
202,0,L1,713.4385796252147,18-58-61-69-71
202,0,L4,712.8468872983563,20-58-61-69-71
202,0,L4,712.8468872983563,20-58-61-69-71
202,0,L1,712.8468872983563,20-58-61-69-71
202,0,L1,713.1140916959528,19-58-61-69-71
202,0,L4,712.8468872983563,20-58-61-69-71
202,0,L1,713.4385796252147,18-58-61-69-71
202,0,L4,712.8468872983563,20-58-61-69-71
303,0,L4,712.8468872983563,20-58-61-69-71
303,0,L4,712.8468872983563,20-58-61-69-71
303,0,L1,712.8468872983563,20-58-61-69-71
303,0,L1,713.1140916959528,19-58-61-69-71
303,0,L4,712.8468872983563,20-58-61-69-71
303,0,L1,713.4385796252147,18-58-61-69-71
303,0,L4,712.8468872983563,20-58-61-69-71
303,0,L4,712.8468872983563,20-58-61-69-71
303,0,L1,712.8468872983563,20-58-61-69-71
303,0,L1,713.1140916959528,19-58-61-69-71
303,0,L4,712.8468872983563,20-58-61-69-71
303,0,L1,713.4385796252147,18-58-61-69-71
303,0,L4,712.8468872983563,20-58-61-69-71
404,0,L4,712.8468872983563,20-58-61-69-71
404,0,L4,712.8468872983563,20-58-61-69-71
404,0,L1,712.8468872983563,20-58-61-69-71
404,0,L1,713.1140916959528,19-58-61-69-71
404,0,L4,712.8468872983563,20-58-61-69-71
404,0,L1,713.4385796252147,18-58-61-69-71
404,0,L4,712.8468872983563,20-58-61-69-71
404,0,L4,712.8468872983563,20-58-61-69-71
404,0,L1,712.8468872983563,20-58-61-69-71
404,0,L1,713.1140916959528,19-58-61-69-71
404,0,L4,712.8468872983563,20-58-61-69-71
404,0,L1,713.4385796252147,18-58-61-69-71
404,0,L4,712.8468872983563,20-58-61-69-71
505,0,L4,712.8468872983563,20-58-61-69-71
505,0,L4,712.8468872983563,20-58-61-69-71
505,0,L1,712.8468872983563,20-58-61-69-71
505,0,L1,713.1140916959528,19-58-61-69-71
505,0,L4,712.8468872983563,20-58-61-69-71
505,0,L1,713.4385796252147,18-58-61-69-71
505,0,L4,712.8468872983563,20-58-61-69-71
505,0,L4,712.8468872983563,20-58-61-69-71
505,0,L1,712.8468872983563,20-58-61-69-71
505,0,L1,713.1140916959528,19-58-61-69-71
505,0,L4,712.8468872983563,20-58-61-69-71
505,0,L1,713.4385796252147,18-58-61-69-71
505,0,L4,712.8468872983563,20-58-61-69-71
