seed,generation,generation_best_objective,generation_best_open_branches,global_best_objective,global_best_open_branches,evaluated_unique_candidates
101,0,772.0876713703857,16-36-43-57-63,772.0876713703857,16-36-43-57-63,135
101,1,749.4114209958398,16-41-45-57-63,749.4114209958398,16-41-45-57-63,177
101,2,730.7478893555179,20-44-58-61-69,730.7478893555179,20-44-58-61-69,215
101,3,730.7478893555179,20-44-58-61-69,730.7478893555179,20-44-58-61-69,255
101,4,722.9744225585621,20-57-62-69-71,722.9744225585621,20-57-62-69-71,294
101,5,719.9041061226554,20-58-62-69-71,719.9041061226554,20-58-62-69-71,332
101,6,715.825261799991,20-57-61-69-71,715.825261799991,20-57-61-69-71,368
101,7,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,401
101,8,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,435
101,9,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,470
101,10,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,505
101,11,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,534
101,12,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,564
101,13,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,592
101,14,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,615
101,15,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,639
101,16,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,669
101,17,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,700
101,18,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,728
101,19,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,757
101,20,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,784
101,21,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,813
101,22,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,839
101,23,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,864
101,24,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,885
101,25,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,909
101,26,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,937
101,27,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,964
101,28,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,990
202,0,814.760038548439,10-14-44-56-61,814.760038548439,10-14-44-56-61,1205
