seed,generation,generation_best_objective,generation_best_open_branches,global_best_objective,global_best_open_branches,evaluated_unique_candidates
101,0,772.0876713703857,16-36-43-57-63,772.0876713703857,16-36-43-57-63,135
101,1,734.4955826690834,20-41-44-58-61,734.4955826690834,20-41-44-58-61,176
101,2,734.4955826690834,20-41-44-58-61,734.4955826690834,20-41-44-58-61,216
101,3,730.2112134192867,20-41-57-61-71,730.2112134192867,20-41-57-61-71,255
101,4,730.2112134192867,20-41-57-61-71,730.2112134192867,20-41-57-61-71,294
101,5,730.2112134192867,20-41-57-61-71,730.2112134192867,20-41-57-61-71,333
101,6,715.825261799991,20-57-61-69-71,715.825261799991,20-57-61-69-71,366
101,7,713.1140916959528,19-58-61-69-71,713.1140916959528,19-58-61-69-71,398
101,8,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,431
101,9,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,467
101,10,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,496
101,11,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,528
101,12,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,554
101,13,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,584
101,14,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,615
101,15,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,645
101,16,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,678
101,17,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,708
101,18,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,741
101,19,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,770
101,20,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,797
101,21,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,822
101,22,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,845
101,23,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,869
101,24,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,894
101,25,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,918
101,26,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,945
101,27,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,970
101,28,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,993
202,0,806.9777641167641,10-16-55-62-71,806.9777641167641,10-16-55-62-71,1255
202,1,749.5866617126967,16-41-55-62-71,749.5866617126967,16-41-55-62-71,1294
202,2,721.7217327636193,19-55-61-69-71,721.7217327636193,19-55-61-69-71,1332
202,3,718.9070865613608,19-56-61-69-71,718.9070865613608,19-56-61-69-71,1365
202,4,718.9070865613608,19-56-61-69-71,718.9070865613608,19-56-61-69-71,1396
202,5,718.6399338407351,20-56-61-69-71,718.6399338407351,20-56-61-69-71,1426
202,6,718.6399338407351,20-56-61-69-71,718.6399338407351,20-56-61-69-71,1459
202,7,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1487
202,8,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1514
202,9,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1534
202,10,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1556
202,11,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1574
202,12,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1596
202,13,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1613
202,14,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1628
202,15,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1646
202,16,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1661
202,17,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1679
202,18,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1698
202,19,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1713
202,20,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1724
202,21,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1740
202,22,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1753
202,23,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1770
202,24,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1787
202,25,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1807
202,26,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1831
202,27,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1847
202,28,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1864
303,0,742.3960150718747,20-39-57-62-71,742.3960150718747,20-39-57-62-71,1992
303,1,742.3960150718747,20-39-57-62-71,742.3960150718747,20-39-57-62-71,2033
303,2,738.8445066995575,18-42-57-63-71,738.8445066995575,18-42-57-63-71,2066
303,3,738.8445066995575,18-42-57-63-71,738.8445066995575,18-42-57-63-71,2102
303,4,726.5004879768072,19-42-58-61-71,726.5004879768072,19-42-58-61-71,2134
303,5,726.5004879768072,19-42-58-61-71,726.5004879768072,19-42-58-61-71,2171
303,6,722.9744225585621,20-57-62-69-71,722.9744225585621,20-57-62-69-71,2199
303,7,715.825261799991,20-57-61-69-71,715.825261799991,20-57-61-69-71,2229
303,8,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2250
303,9,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2267
303,10,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2289
303,11,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2306
303,12,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2324
303,13,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2342
303,14,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2355
303,15,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2374
303,16,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2398
303,17,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2414
303,18,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2428
303,19,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2444
303,20,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2454
303,21,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2467
303,22,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2485
303,23,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2504
303,24,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2516
303,25,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2531
303,26,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2551
303,27,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2576
303,28,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2598
404,0,758.5867172412187,17-35-58-61-71,758.5867172412187,17-35-58-61-71,2728
404,1,750.7567531922335,16-40-55-62-71,750.7567531922335,16-40-55-62-71,2766
404,2,719.7498182884219,16-58-61-69-71,719.7498182884219,16-58-61-69-71,2802
404,3,719.7498182884219,16-58-61-69-71,719.7498182884219,16-58-61-69-71,2834
404,4,716.7278747139836,17-58-61-69-71,716.7278747139836,17-58-61-69-71,2858
404,5,713.4385796252147,18-58-61-69-71,713.4385796252147,18-58-61-69-71,2878
404,6,713.4385796252147,18-58-61-69-71,713.4385796252147,18-58-61-69-71,2896
404,7,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2916
404,8,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2934
404,9,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2949
404,10,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2968
404,11,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2987
404,12,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3002
404,13,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3024
404,14,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3040
404,15,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3055
404,16,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3073
404,17,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3089
404,18,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3101
404,19,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3111
404,20,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3121
404,21,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3135
404,22,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3149
404,23,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3162
404,24,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3176
404,25,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3196
404,26,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3209
404,27,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3218
404,28,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3235
505,0,766.5129648352636,14-38-45-56-63,766.5129648352636,14-38-45-56-63,3366
505,1,749.5866617126967,16-41-55-62-71,749.5866617126967,16-41-55-62-71,3405
505,2,749.5866617126967,16-41-55-62-71,749.5866617126967,16-41-55-62-71,3438
505,3,736.3205145560831,18-41-55-61-71,736.3205145560831,18-41-55-61-71,3471
505,4,733.5662916841861,18-41-56-61-71,733.5662916841861,18-41-56-61-71,3500
505,5,733.5662916841861,18-41-56-61-71,733.5662916841861,18-41-56-61-71,3528
